battery_id,test_id,Capacity,initial_capacity,SOH,capacity_fade,cycle_norm,capacity_rolling_5,capacity_delta,capacity_accel,temperature,RUL
B0005,1,1.8564874208181574,1.8564874208181574,1.0,0.0,0.0016313213703099511,1.8564874208181574,0.0,0.0,24,590
B0005,3,1.846327249719927,1.8564874208181574,0.9945272071416714,0.01016017109823042,0.004893964110929853,1.8514073352690423,-0.01016017109823042,-0.01016017109823042,24,588
B0005,5,1.8353491942234077,1.8564874208181574,0.9886138595081705,0.02113822659474973,0.008156606851549755,1.8460546215871638,-0.010978055496519312,-0.0008178843982888928,24,586
B0005,7,1.8352625275821128,1.8564874208181574,0.9885671763794173,0.021224893236044595,0.011419249592169658,1.8433565980859012,-8.666664129486357e-05,0.010891388855224449,24,584
B0005,9,1.8346455082120419,1.8564874208181574,0.9882348178817771,0.021841912606115566,0.01468189233278956,1.8416143801111293,-0.0006170193700709703,-0.0005303527287761067,24,582
B0005,11,1.8356616600675495,1.8564874208181574,0.9887821697485943,0.020825760750607936,0.01794453507340946,1.8374492279610077,0.0010161518555076299,0.0016331712255786002,24,580
B0005,13,1.8351461429226603,1.8564874208181574,0.9885044855913476,0.021341277895497113,0.021207177814029365,1.8352130066015544,-0.0005155171448891771,-0.001531669000396807,24,578
B0005,15,1.8257567905665537,1.8564874208181574,0.9834468955151549,0.03073063025160372,0.024469820554649267,1.8332945258701834,-0.009389352356106606,-0.008873835211217429,24,576
B0005,17,1.8247738529891333,1.8564874208181574,0.9829174345738104,0.031713567829024125,0.02773246329526917,1.8311967909515878,-0.0009829375774204063,0.0084064147786862,24,574
B0005,19,1.824613268496936,1.8564874208181574,0.982830935473199,0.03187415232122137,0.03099510603588907,1.8291903430085668,-0.00016058449219724658,0.0008223530852231598,24,572
B0005,21,1.8246195526864504,1.8564874208181574,0.9828343204622076,0.031867868131707056,0.03425774877650897,1.8269819215323466,6.284189514316196e-06,0.00016686868171156277,24,570
B0005,24,1.8142019357673917,1.8564874208181574,0.9772228539894279,0.04228548505076568,0.03915171288743882,1.822793080101293,-0.010417616919058625,-0.010423901108572942,24,567
B0005,26,1.8137521577549054,1.8564874208181574,0.9769805803238794,0.04273526306325204,0.04241435562805873,1.8203921535389633,-0.00044977801248635707,0.009967838906572268,24,565
B0005,28,1.8134404914735822,1.8564874208181574,0.9768127007692816,0.04304692934457521,0.04567699836867863,1.8181254812358532,-0.0003116662813231752,0.00013811173116318187,24,563
B0005,30,1.8025980036306504,1.8564874208181574,0.9709723768751647,0.05388941718750706,0.048939641109298535,1.813722428262596,-0.010842487842931847,-0.010530821561608672,24,561
B0005,32,1.80210690024615,1.8564874208181574,0.9707078432300706,0.054380520572007374,0.052202283849918436,1.8092198977745357,-0.0004911033845003132,0.010351384458431534,24,559
B0005,34,1.802579500826209,1.8564874208181574,0.9709624103091467,0.05390791999194833,0.05546492659053834,1.8068954107862996,0.00047260058005904604,0.0009637039645593592,24,557
B0005,36,1.8030683142834096,1.8564874208181574,0.9712257104811376,0.053419106534747796,0.05872756933115824,1.804758642092,0.000488813457200532,1.6212877141486004e-05,24,555
B0005,38,1.8027776247196041,1.8564874208181574,0.9710691300699019,0.05370979609855331,0.06199021207177814,1.8026260687412048,-0.0002906895638055129,-0.000779503021006045,24,553
B0005,41,1.8470259949329193,1.8564874208181574,0.9949035873989017,0.009461425885238128,0.06688417618270799,1.8115116670016582,0.04424837021331518,0.04453905977712069,24,550
B0005,45,1.847417311283644,1.8564874208181574,0.995114370594272,0.009070109534513371,0.0734094616639478,1.8205737492091572,0.00039131635072475746,-0.04385705386259042,24,546
