battery_id,test_id,Capacity,initial_capacity,SOH,capacity_fade,cycle_norm,capacity_rolling_5,capacity_delta,capacity_accel,temperature,RUL,max_rul,RUL_norm
B0005,1,1.8564874208181572,1.8564874208181572,1.0,0.0,0.0016313213703099,1.8564874208181572,0.0,0.0,24,590,590,1.0
B0005,3,1.846327249719927,1.8564874208181572,0.9945272071416714,0.0101601710982304,0.0048939641109298,1.8514073352690423,-0.0101601710982304,-0.0101601710982304,24,588,590,0.9966101694915255
B0005,5,1.835349194223408,1.8564874208181572,0.9886138595081704,0.0211382265947497,0.0081566068515497,1.846054621587164,-0.0109780554965193,-0.0008178843982888,24,586,590,0.9932203389830508
B0005,7,1.8352625275821128,1.8564874208181572,0.9885671763794172,0.0212248932360445,0.0114192495921696,1.8433565980859008,-8.666664129486357e-05,0.0108913888552244,24,584,590,0.9898305084745763
B0005,9,1.8346455082120416,1.8564874208181572,0.9882348178817772,0.0218419126061155,0.0146818923327895,1.841614380111129,-0.0006170193700709,-0.0005303527287761,24,582,590,0.9864406779661017
B0005,11,1.8356616600675493,1.8564874208181572,0.9887821697485945,0.0208257607506079,0.0179445350734094,1.837449227961008,0.0010161518555076,0.0016331712255786,24,580,590,0.9830508474576272
B0005,13,1.8351461429226603,1.8564874208181572,0.9885044855913476,0.0213412778954971,0.0212071778140293,1.8352130066015544,-0.0005155171448891,-0.0015316690003968,24,578,590,0.9796610169491525
B0005,15,1.8257567905665535,1.8564874208181572,0.9834468955151549,0.0307306302516037,0.0244698205546492,1.8332945258701836,-0.0093893523561066,-0.0088738352112174,24,576,590,0.976271186440678
B0005,17,1.8247738529891333,1.8564874208181572,0.9829174345738104,0.0317135678290241,0.0277324632952691,1.831196790951588,-0.0009829375774204,0.0084064147786862,24,574,590,0.9728813559322034
B0005,19,1.824613268496936,1.8564874208181572,0.982830935473199,0.0318741523212213,0.030995106035889,1.8291903430085668,-0.0001605844921972,0.0008223530852231,24,572,590,0.9694915254237289
B0005,21,1.8246195526864504,1.8564874208181572,0.9828343204622076,0.031867868131707,0.0342577487765089,1.8269819215323464,6.284189514316196e-06,0.0001668686817115,24,570,590,0.9661016949152542
